Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2008:Q1,pct20to40,3487994,4401560,1773235,452600,279799,854688,164673,876565,913566,584231,309937,19398
2008:Q1,pct00to20,2348092,2862687,1278647,262217,228053,257461,446797,389512,514595,313021,190011,11563
2008:Q2,pct99to100,14078124,14920544,2349308,484204,4496144,1133954,2422981,4033953,842420,618412,42684,181324
2008:Q2,pct80to99,27990354,34046934,9626834,1578353,4944371,8437385,3493325,5966666,6056580,4946941,817165,292474
2008:Q2,pct60to80,9179184,12735936,4336264,1022143,1148043,3660549,721654,1847283,3556752,2731904,754635,70213
2008:Q2,pct40to60,5724583,7702377,2713931,744057,518340,1960920,418240,1346888,1977794,1457132,498819,21843
2008:Q2,pct20to40,3419810,4353382,1760641,452955,270212,851558,182986,835031,933573,598758,317772,17043
2008:Q2,pct00to20,2317739,2854974,1257881,266097,237503,254170,470466,368858,537236,329724,189378,18134
2008:Q3,pct99to100,13211449,14108593,2332158,478522,3734984,1087112,2285913,4189905,897144,616101,41049,239994
2008:Q3,pct80to99,27446590,33569596,9389637,1586971,4417145,8434403,3502935,6238505,6123006,4914305,830822,377879
2008:Q3,pct60to80,8715847,12257061,4221159,1021654,985798,3553508,683836,1791106,3541214,2721945,748110,71159
2008:Q3,pct40to60,5640709,7626903,2650441,756881,489576,1909552,418292,1402161,1986194,1466069,503479,16646
2008:Q3,pct20to40,3276946,4218869,1712171,456089,243373,821699,166760,818777,941923,603840,314901,23182
2008:Q3,pct00to20,2233600,2789611,1173582,276652,236336,241751,494059,367231,556011,331619,205453,18939
2008:Q4,pct99to100,11711591,12475934,2277230,469255,2653158,989602,2051952,4034738,764343,613546,41268,109529
2008:Q4,pct80to99,26440788,32348906,9162441,1576119,3642416,8406465,3321939,6239526,5908118,4868554,834918,204646
2008:Q4,pct60to80,8434373,11951179,4050450,1009035,751253,3350460,652392,2137589,3516806,2687703,736807,92296
2008:Q4,pct40to60,5462895,7474307,2593722,765853,449112,1779856,417900,1467865,2011412,1464509,504248,42655
2008:Q4,pct20to40,3251055,4192788,1688797,455216,202134,761272,170912,914457,941733,608405,311641,21687
2008:Q4,pct00to20,2303875,2897895,1174553,289780,227052,211439,510865,484206,594019,334543,214908,44568
2009:Q1,pct99to100,11148729,11881485,2170511,460166,2237464,954379,1888086,4170879,732756,613252,37311,82193
2009:Q1,pct80to99,26162703,32012175,8896373,1572764,3319944,8467301,3216926,6538868,5849472,4850311,829565,169596
2009:Q1,pct60to80,7775952,11256501,3848667,999855,654579,3259937,612527,1880936,3480549,2682996,697574,99979
2009:Q1,pct40to60,5387423,7401441,2554921,769517,422010,1747751,405238,1502004,2014018,1476946,489284,47788
2009:Q1,pct20to40,3151736,4077602,1699410,453598,184270,742960,162386,834979,925866,615293,290964,19609
2009:Q1,pct00to20,2296822,2916560,1257908,295380,222906,203729,511110,425527,619738,338230,233444,48064
2009:Q2,pct99to100,11194116,11937682,2144934,452324,2862966,986598,1657432,3833428,743567,616976,38716,87875
2009:Q2,pct80to99,26319392,32161166,8679964,1584543,3967292,8650072,2907463,6371832,5841774,4839831,823689,178254
2009:Q2,pct60to80,8094141,11515159,3761437,998687,781854,3411825,596177,1965179,3421017,2641685,677504,101828
