Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1993:Q3,Other,1110556,1306506,340409,108322,111874,292141,190908,262853,195950,152175,34357,9418
1993:Q4,White,22775675,26229221,6941317,1977091,3608636,5501015,2843221,5357940,3453546,2538297,716735,198514
1993:Q4,Black,1080768,1345684,393280,141943,46609,520405,91446,152001,264915,172162,85255,7498
1993:Q4,Hispanic,452454,638548,245922,74644,17035,154776,67963,78208,186093,136076,47126,2891
1993:Q4,Other,1113660,1311870,338632,108399,117671,299696,179537,267935,198211,152644,37053,8514
1994:Q1,White,22915827,26398314,7000550,1994772,3450151,5575208,2924280,5453353,3482487,2564606,715411,202470
1994:Q1,Black,1079595,1348792,397058,147664,44229,516866,88228,154748,269197,176994,84908,7295
1994:Q1,Hispanic,457831,642082,247016,74060,16557,157383,63191,83876,184251,134958,46385,2908
1994:Q1,Other,1107044,1305075,332211,109542,112652,308766,172619,269285,198031,152911,37172,7948
1994:Q2,White,23084571,26643517,7084783,2026661,3377003,5663681,3006911,5484478,3558945,2607585,744259,207101
1994:Q2,Black,1060340,1335719,400753,148876,40962,512917,79104,153107,275379,180086,88058,7235
1994:Q2,Hispanic,462353,645534,244817,74313,16824,162908,57155,89518,183181,133382,46919,2880
1994:Q2,Other,1106571,1306913,330662,109698,109415,318880,167910,270347,200341,153569,39344,7428
1994:Q3,White,23419658,27056297,7164116,2066173,3444387,5773603,3062078,5545940,3636639,2649959,778385,208295
1994:Q3,Black,1051560,1334259,402655,146311,40423,516069,73191,155610,282699,183896,91796,7007
1994:Q3,Hispanic,463131,646402,239454,74886,17088,167749,53520,93705,183271,132609,47858,2804
1994:Q3,Other,1112496,1315942,331732,109129,111319,328489,162310,272963,203446,154585,41915,6946
1994:Q4,White,23636557,27379203,7229950,2094272,3408501,5820962,3135847,5689671,3742646,2692312,828664,221670
1994:Q4,Black,1023884,1314768,400877,145496,37994,511652,64738,154011,290883,186285,97328,7270
1994:Q4,Hispanic,462647,646695,234810,75153,17379,171188,48731,99434,184047,131677,49524,2846
1994:Q4,Other,1115216,1322708,330962,109241,110036,336460,157520,278489,207492,155667,45651,6174
1995:Q1,White,24133019,27901339,7279421,2129176,3625533,5952953,3195778,5718479,3768320,2715668,831769,220883
1995:Q1,Black,1028464,1321225,402124,146046,38611,517139,58012,159293,292761,188520,97130,7111
